Person,Work,Work (Drepung),No of folios,No of folios (Drepung),TibSchol Ref #,Drepung Cat #,BDRC #,Author,Author (Drepung),Scribe,Script (Drepung),Place,Topic,Topic (Drepung),Topic signature),Bundle (Drepung),Bundle signature,Folio size,Notes
Gro lung pa Blo gros ‘byung gnas,-,Phar phyin skor mtshan byang mi gsal ba,- ,39,-,15857,,-,Sh+'akya'i dge slong blo gros 'byung gnas,,bru tsha,,-,tsha,-,61,-,65 x 10,
Gro ston bDud rtsi grags ,-,bsNgo ba,-,5,-,19151,,-,Gro ston bDud rtsi grags ,,bru tsha,,-,la,-,463,-,44 x 8,
Gro ston bDud rtsi grags ,-,Rwa sgreng tu phul ba'i 'phrin yig,-,21,-,19625,,-,sNar thang gdan sa bzhi pa Gro ston bDud rtsi grags ,,dpe tshugs,,-,la,-,550,-,36 x 6,
Gro ston bDud rtsi grags ,-,bKris mtshan ma brgyad pa,-,6,-,12429,,-,Sh+'akya'I dge slong bdud rtsi grags,,dpe tshugs,,,ma,-,926,-,34 x 7,Same text as #12446
Gro ston bDud rtsi grags ,-,bLa ma chu mig pa chen po'i rnam thar dang springs yig | | 'Jam dpal gyi sgrub thabs,-,1,-,12439,,-,dGe slong bdud rtsi grags,,dpe tshugs,,,ma,-,926,-,33 x 6,
Gro ston bDud rtsi grags ,-,bKra shis mtshan ma brgyad pa,-,6,-,12446,,-,Sh+'akya'I dge slong bdud rtsi grags,,bru tsha,,,ma,-,926,-,34 x 6.5,Same text as #12429
gTsang nag pa brTson ‘grus seng ge,-,Phyag rgya chen po'i bla ma la gsol ba 'debs pa'i tshul,-,10,-,11922,,-,gTsang nag phug gi dge slong thugs rje seng ge,-,dpe tshugs,-,-,ma,-,892,-,38 x 8,"According to Kuijp 1994 p.187 this is not gTsang nag pa, but brtson 'grus seng ge (APIS ID: 5924)"
Lo chen Rin chen bzang po,-,Bcom ldan 'das dpal phyag na rdo rje la bstod pa phyag 'tshal lo bcu pa,-,3,-,12371,,-,La ts+'a ba rin chen bzang po,,dpe tshugs,,-,ma,-,923,-,33 x 8,According to Dan Y (https://tibeto-logic.blogspot.com/2022/03/consecration-rite-of-great-translator.html)Prostrations and Praise to the Blessed One Glorious Vajrapāṇi. From the title it is possible this was composed when he was ten years old. At least that’s how I read it at the moment.
Lo chen Rin chen bzang po,-,dPal mngon par rtogs pa'i bka' ba'i gnad bshad pa lo ts+'a ba rin chen bzang pos mdzad pa,-,13,-,1927,,-,Lo chen rin chen bzang po,,dpe tshugs,,-,kha,-,68,-,45 x 8,"Same as 1_001_03? Perhaps a copy if ascribed to different authors
This is listed by van der Kuijp in 'Bird Face: part 1'"
Lo chen Rin chen bzang po,-,Jo bo'i rnam thar kha skong zur du gleng pa zur tsam thor bu,-,15,-,17086,,,Lo chen rin chen bzang po,,dpe tshugs,,-,ra,-,53,-,40 x 8,Could this be a biography of Atisa? Lin Sun (2008) states that a short biography by Rin chen bzang po is held at the Lhasa museum
Lo chen Rin chen bzang po,-,Rab gnas cho ga'i gzhung sdom tshig tu bsdus pa'o ,-,1,-,10970prima,,-,Sh+'akya'i dge slong rin chen bzang po,,dpe tshugs,,-,ma,-,793,-,48 x 8,According to Dan Y (https://tibeto-logic.blogspot.com/2022/03/consecration-rite-of-great-translator.html) This ought to be the often cited Sdom-tshig
Lo chen Rin chen bzang po,-,Rab gnas don gsal gyi bsdus don bzhugs som,-,2,-,12231,,,Sh+'akya'i dge slong rin chen bzang po,,dpe tshugs,,-,ma,-,911,-,34 x 7.5,On consecration 
Lo chen Rin chen bzang po,-,Rab tu gnas pa'i zin bris legs bshad kun 'dus,-,16,-,12399,,-,Sh+'akya'i dge slong rin chen bzang po,,dpe tshugs,,-,ma,-,924,-,36 x 7,"Dan Y suggests it could be the same as 010970, but no way of knowing. Difference in script and number of folios suggests that it would be a copy (or vice versa)?"
Lo chen Rin chen bzang po,-,rNal 'byor yan lag drug gi ngo sprod kyi zur 'debs gsang don rab gsal ,-,100,-,841,,-,Jo nang lo ts+'a ba rin chen bzang po,,bru tsha,,-,ka,-,204,-,39.5 x 7,Instructions on the six-fold yoga of Kalachakra
Lo chen Rin chen bzang po,-,rNam rgyal ma'i rjes gnang dang gzungs zla thabs,-,3,-,6183,,-,Jo nang lo ts+'a ba rin chen bzang po,,dpe tshugs,,-,ba,-,14,-,33.4 x 7.5 or 8.5,Tantric instructions relating to Namgyelma and Dharanis?
Lo chen Rin chen bzang po,-,sByor ba yan lag drug gi khrid yig las thun mong kyi sngon 'gro bla ma'i gsung rgyun zin bris,-,14,-,723,,-,Lo chen rin chen bzang po,,dpe tshugs,,-,ka,-,164,-,42 x 8,Ordinary preliminary practices from the practice manual of the shadanggayoga (sbyor drug) of the Kalachakra
Lo chen Rin chen bzang po,-,Yo ga'i rab gnas,-,16,-,12307,,-,Lo chen rin chen bzang po,,bru tsha,,-,ma,-,918,-,30 x 7,"On consecration ritual according to Yoga Tantras
This is listed by vdK in 'Bird Face: Part 1'"
Mchims nam mkha’ grags ,-,dBu ma rtsa ba'i 'grel ba tshig gsal bar byed pa,-,89,-,15697,,-,Mchims nam mkha’ grags ,,dpe tshugs,,,tsa,,119,,65 x 10,
Mchims nam mkha’ grags ,-,Rab byung rnams kyi nyin zhag phrugs gcig la yan lag bdun po nyams su blang tshul gyi zhal gdams,-,73,-,16271,,-,Mchims nam mkha’ grags ,,dpe tshugs,,,wa,,47,,none given,Could it be 2_048_02?
Mchims nam mkha’ grags ,-,Jo bo rin po che dpal ldan a ti sha'i rnam thar rgyas pa yongs grags,-,365,-,17838,,-,Mchims nam mkha’ grags ,,shing dpar,,,la,,26,,50 x 10,Could it be a version of: https://library.bdrc.io/show/bdr:W3CN2815#open-viewer ?
Mchims nam mkha’ grags ,-,Jo bo rin po che dpal ldan a ti sha'i rnam thar rgyas pa yongs grags,-,119,-,17806,,-,mKhan po mchims thams cad mkhyen,,shing dpar,,,la,,7,,48 x 8.5,
Mchims nam mkha’ grags ,-,Jo bo rje dpal ldan mar me mdzad ye shes rnam thar rgyas pa,-,108,-,18297,,-,Mchims nam mkha’ grags ,,shing dpar,,,la,,162,,56 x 12,
Mchims nam mkha’ grags ,-,Blo sbyong bla ma brgyud pa'i rim pa dang bcas pa bzhugs pa'i dran snang,-,7,-,18765,,-,Mchims nam mkha’ grags ,,dpe tshugs,,,la,,355,,29.5 x 7,
Mchims nam mkha’ grags ,-,Blo bzang thun cig ma 'chims pa chen po'i yin,-,5,-,Nang9-71 (kun dga' rwa ba dkar chag),,-,Mchims nam mkha’ grags ,,dpe tshugs,,,nang,,9,,22 x 8,
Mchims nam mkha’ grags ,-,gNas brtan bcu drug gi dbang chog,-,9,-,8189,,-,Mchims blo bzang grags,,dpe tshugs,,,ma,,291,,33 x 6,
Mchims nam mkha’ grags ,-,Rab gnas rgyas pa,-,36,-,12433,,-,dGe slong nam mkha' grags,,dpe tshugs,,,ma,,926,,33 x 6,Another version: 12471
Mchims nam mkha’ grags ,-,Rab gnas rgyas pa,-,36,-,12471,,-,dGe slong nam mkha' grags,,bru tsha,,,ma,,926,,34 x 6.8,Another version: 12433
Mchims nam mkha’ grags ,-,Shes rab kyi pha rol tu phyin pa'i stong phrag brgya pa'i gzhung gi don rnam par 'byed pa'i bshad pa ,-,226,-,19080,WA0XL0D10C06A44CD,-,dGe slong nam mkha' grags,,bru tsha,,,la,,432,,48 x 6.5,"Typeset version available on BDRC: WA0XL0D10C06A44CDb 
Another version: 19091"
Mchims nam mkha’ grags ,-,Shes rab kyi pha rol du phyin pa stong phrag brgya pa'i gzhung don rnam par 'byed pa'i bshad pa ,-,226,-,19091,,-,dGe slong nam mkha' grags,,dpe tshugs,,,la,,435,,42 x 6.5,"Typeset version available on BDRC: WA0XL0D10C06A44CDb
Another version: 19080"
Mchims nam mkha’ grags ,-,Blang dor gsal byed rin chen thems skas,-,35,-,19085,,-,dGe slong nam mkha' grags,,bru tsha,,,la,,432,,43 x 6.5,Another version: 19099
Mchims nam mkha’ grags ,-,Blang dor gsal byed rin chen thems skas,-,35,-,19099,,-,dGe slong nam mkha' grags,,dpe tshugs,,,la,,435,,42 x 6.5,Another version: 19085
Mchims nam mkha’ grags ,-,rTen pa bzhugs pa dang bstan pa ji srid gnas pa'i rtsis,-,13,-,19082,,-,Mchims thams cad mkhyen pa,,bru tsha,,,la,,432,,43.5 x 6.5,Another version: 19093
Mchims nam mkha’ grags ,-,ston pa bzhugs pa dang bstan pa ji srid gnas pa'i rtsis,-,13,-,19093,,-,Mchims thams cad mkhyen pa,,dpe tshugs,,,la,,435,,42 x 6.5,Another version: 19082
Mchims nam mkha’ grags ,-,Shes phyin sgom don rin chen spungs pa,-,60,-,19929,,-,Sh+'akya'i dge slong nam mkha' grags,,dpe tshugs,,,la,,590,,44 x 7.5,
Mchims nam mkha’ grags ,-,Don yod bzhags pa'i bsgrub thabs,-,16,-,Nang200-1120 (kun dga' rwa ba dkar chag),,-,Sh+'akya'i dge slong nam mkha' grags,,dpe tshugs,,,nang,,200,,33.5 x 8,
rGya dmar ba Byang chub grags,-,Byang chub sems dpa'i spyod pa la 'jug pa'i bsdus don,-,7,-,15392,,-,Sh+'akya'i dge slong byang chub grags,,dpe tshugs,-,-,tsa,-,13,-,65 x 9,"This appears to be the same as text by Phya pa #015546 (1_007_02), but different scripts noted in Drepung catalogue?
According to p.3-5 in http://purl.bdrc.io/resource/WA0XLEBEF5268F2A9 - rGya dmar authored two texts on spyod 'jug"
rMa bya Byang chub brtson ‘grus,-,dBu ma 'jug pa'i sa bcad,-,10,-,15388,,rMa bya Byang chub brtson ‘grus,rJe byang chub brtson 'grus,,dpe tshugs,no place,Madhyamaka,tsa,-,13,-,63 x 10,
rNal ‘byor pa Shes rab rdo rje,-,gZhi lam 'bras bu'i man ngag rin po che sgron gsal,-,17,-,11507,-,-,rDo rje theg pa'i rNal ‘byor pa Shes rab rdo rje,-,bru tsha,-,-,ma,-,689,-,67 x 10,Another version of this text is #6598
rNal ‘byor pa Shes rab rdo rje,-,gZhi lam 'bras bu'i man ngag rin po che sgron gsal,-,17,-,6598,-,-,rNal ‘byor pa Shes rab rdo rje,-,dpe tshugs,-,-,ma,-,69,-,67 x 10,Another version of this text is #11507
rNgog Blo ldan shes rab,-,Byams chos kyi 'grel pa,-,1,-,18819,,-,lo tsa+'a ba dge slong blo ldan shes rab,-,bris ma dbu can,,-,la,-,360,-,65.3 x 10.1,Kano notes that it is not clear if this title refers to one of the commentaries included in the 13 works listed his overview (2008) or if it belongs to a separate commentary
rNgog Blo ldan shes rab,-,Jam dpal yon tan ye shes bzang po'i bstod bsgrub bzhugs pa'i dbu phyogs ,-,3,-,6384,-,-,rNgog blo ldan shes rab,-,bru tsha,-,-,ma,-,44,-,44 x 8,
sPar phu ba Blo gros seng ge,-,rGyal po do ha tshigs su bcad pa bzhi bcu pa’i bsdus don,-,2,-,6878,,-,dGe slong Blo gros seng ge,,dpe tshugs,,,ma,-,117,-,42 x 7.2,"From folio size, it appears to be part of a collection of texts either by sPar phu ba or by the Saraha lineage (e.g., under author of #6880 it says 'sa ra ha yis') "
sPar phu ba Blo gros seng ge,-,d+ho ha'i lhan thabs ,-,3,-,6884,,-,dGe slong Blo gros seng ge,,dpe tshugs,,,ma,-,117,-,42 x 7.2,"From folio size, it appears to be part of a collection of texts either by sPar phu ba or by the Saraha lineage (e.g., under author of #6880 it says 'sa ra ha yis') "
sPar phu ba Blo gros seng ge,-,Lung sbyor bzhugs pa' dbu phyogs lags so,-,13,-,6886,,-,Blo gros seng ge,,dpe tshugs,,,ma,-,117,-,42 x 7.2,"From folio size, it appears to be part of a collection of texts either by sPar phu ba or by the Saraha lineage (e.g., under author of #6880 it says 'sa ra ha yis') "
sPar phu ba Blo gros seng ge,-,d+ho ha'i bsgrung 'bum bdud rtsi'i thigs pa,-,23,-,6887,,-,Blo gros seng ge,,dpe tshugs,,,ma,-,117,-,42 x 7.2,"From folio size, it appears to be part of a collection of texts either by sPar phu ba or by the Saraha lineage (e.g., under author of #6880 it says 'sa ra ha yis') "
sPar phu ba Blo gros seng ge,blo gros dri ma med pa snang ba'i bshad,Blo gros dri ma med pa'i snang ba zhes bya ba'i 'grel ba,230,230,3_069_02,18966,,sPar phu ba Blo gros seng ge,sPar bu Blo gros seng+ge,,bru tsha,,Stages of the path,la,-,398,-,36 x 11.5,Appears to come from same collection as Drepung #18965 by sPar phu
sPar phu ba Blo gros seng ge,-,dGe gshes rin po che sbu pu'i dbang gi zhus lan,-,4,-,8696,,-,sPar bu ba dge slong blo gros seng ge,,bru tsha,,,ma,-,378,-,46 x 9,
sPar phu ba Blo gros seng ge,-,Nag po chen po'i rjes gnang smin grol mthu stobs dang ldan pa,-,9,-,9849,,-,dGe slong Blo gros seng ge,,dpe tshugs,,,ma,-,549,-,50 x 8,
sPar phu ba Blo gros seng ge,-,Do ha'i sa bcad ma rig mun sel,-,5,-,9875,,-,dGe slong Blo gros seng ge,,dpe tshugs,,,ma,-,549,-,50 x 8,
sPar phu ba Blo gros seng ge,-,Do ha mdzod kyi gnad gsal bar byed pa zla ba'i 'od zer,-,101,-,16116,,-,Blo gros seng ge,,dpe tshugs,,,dza,-,47,-,35 x 7.5,
sPar phu ba Blo gros seng ge,-,Do ha mdzod kyi rnal 'byor,-,47,-,10578,,-,dGe slong Blo gros seng ge,,dpe tshugs,,,ma,-,611,-,32 x 9,
sPar phu ba Blo gros seng ge,-,bKa' stod kyi yi ge lam gyi dbon po blo gros seng ges mdzad pa,-,9,-,20993,,-,Blo gros seng ge,,dpe tshugs,,,m+'a,-,46,-,39x9,
Thar pa lo tsa ba nyi ma rgyal mtshan,-,sByor drug gi sngon 'gro thar los mdzad pa,-,14,-,690,,-,Lo ts+'a ba sh+'akya'i dge slong nyi ma rgyal mtshan dpal bzang po,,dpe tshugs,,,ka,,162,,45 x 8,
Thar pa lo tsa ba nyi ma rgyal mtshan,-,gNad kyi lde mig,-,5,-,1183,,-,Lo ts+'a ba nyi ma rgyal mtshan dpal bzang po,,dpe tshugs,,,ka,,275,,45 x 8,
Thar pa lo tsa ba nyi ma rgyal mtshan,-,Yan lag drug gi man ngag thub pa'i ye shes 'byung ba,-,26,-,1252,,-,Sh+'akya'i dge slong nyi ma rgyal mtshan dpal bzang po,,dpe tshugs,,,ka,,292,,39 x 8.2,
Thar pa lo tsa ba nyi ma rgyal mtshan,-,Dril bu zhabs kyi bskyed rim gsal ba'i sgron me,-,21,-,3015,,-,mKhan btsun yon tan rgya mtsho bstan pa'i nyi ma rgyal mtshan dpal bzang po,,dpe tshugs,,,kha,,178,,50 x 9,
Thar pa lo tsa ba nyi ma rgyal mtshan,-,dPal dus kyi 'khor lo'i bskyed rim zin bris,-,96,-,9,,-,mKhan btsun yon tan rgya mtsho bstan pa'i nyi ma rgyal mtshan dpal bzang po,,dpe tshugs,,,ka,,4,,44.5 x 7,
Thar pa lo tsa ba nyi ma rgyal mtshan,-,Ngag dbang lha mo dbyangs can ma'i bstod pa,-,6,-,18796,,-,Nyi ma rgyal mtshan dpal,,dpe tshugs,,,la,,357,,48 x 9,
Thar pa lo tsa ba nyi ma rgyal mtshan,-,rDo rje'i tshig 'byed kyi bsdus don,-,3,-,12117,,-,Thar lo nyi ma rgyal mtshan dpal bzang po,,dpe tshugs,,,ma,,906,,48 x 8,
sKyo ston smon lam tshul khrims,-,dbu ma tshig gsal gyi dka' gnad legs par bshad pa theg pa mchog gi rgyan,-,51,,15702,,-,sKyo ston smon lam tshul khrims,,dpe tshugs,,,tsa,,118,,67x 8,
sKyo ston smon lam tshul khrims,-,rab gnas mdor bsdus,-,3,,11571 prima,,-,sKyo ston smon lam tshul khrims,,dpe tshugs,,,ma,,695,,37.5 x 8.2,
sKyo ston smon lam tshul khrims,-,bla ma chu mig pa chen po'i rnam thar dang springs yig,-,2,,12472,,-,sKyo ston smon lam tshul khrims,,dpe tshugs,,,ma,,926,,34 x 6.8,
sKyo ston smon lam tshul khrims,-,jam dpal dmar po'i sgrub thabs,-,1,,12473,,-,sKyo ston smon lam tshul khrims,,dpe tshugs,,,ma,,926,,34 x 6.8,
sKyo ston smon lam tshul khrims,-,jam dpal dmar po'i sgrub thabs,-,1,,12479,,-,sKyo ston smon lam tshul khrims,,bru tsha,,,ma,,926,,34.5 x 6.5,
sKyo ston smon lam tshul khrims,-,khams dri med,-,7,,12475,,-,sKyo ston smon lam tshul khrims,,dpe tshugs,,,ma,,926,,34.5 x 6.5,
sKyo ston smon lam tshul khrims,-,mgon po legs ldan nag po'i rtsa ra mchod bskul dang bcas pa,-,5,,12476,,-,sKyo ston smon lam tshul khrims,,dpe tshugs,,,ma,,926,,34.5 x 6.5,
sKyo ston smon lam tshul khrims,-,mgon po legs ldan nag po'i rtsa ra mchod bskul dang bcas pa,-,5,,12480,,-,sKyo ston smon lam tshul khrims,,dpe tshugs,,,ma,,926,,34.5 x 6.5,
sKyo ston smon lam tshul khrims,-,gtor ma'i cho ga,-,3,,12478,,-,sKyo ston smon lam tshul khrims,,dpe tshugs,,,ma,,926,,34.5 x 6.5,
sKyo ston smon lam tshul khrims,-,gtum po nag po chen po'i khros pa'i rgyud ,-,5,,12481,,-,snar thang brgyad pas btsun pa chos kyi rgyal mtshan,,bru tsha,,,ma,,926,,34.5 x 6.5,
sKyo ston smon lam tshul khrims,-,byang chub kyi lhung ba bshags pa'i man ngag sgrub pa nyams su len thabs,-,2,,12481,,-,sKyo ston smon lam tshul khrims,,bru tsha,,,ma,,926,,34.5 x 6.5,
rgyal sras thogs med bzang po,-,thugs rje chen po'i smyung gnas kyi cho ga,-,9,,6186,,,rgyal sras dngul chu thogs med,,dpe tshugs,,,ba,,14,,52.4 x 9.3,A text with a similar title is on BDRC (WA13916)
rgyal sras thogs med bzang po,-,rgyal sras pa'i mdzad pa'i sman lha'i dbyangs 'bum,-,5,,18014,,,rgyal sras dngul chu thogs med,,dpe tshugs,,,la,,86,,38 x 7,
rgyal sras thogs med bzang po,-,rgyal sras bka' 'bum,-,238,,18533,,,rgyal sras dngul chu thogs med,,shing dpar,,,la,,167,,44 x 8.5,"Other versions in Drepung karchag = 18824, 18106, 18430 19160, and 18329"
rgyal sras thogs med bzang po,-,rgyal sras thogs med kyi bka' 'bum,-,178,,18106,,,chos smra ba btsun pa thogs med,,bru tsha,,,la,,98,,46 x 9,"Other versions in Drepung karchag = 18824, 18533, 18430, 19160, and 18329"
rgyal sras thogs med bzang po,-,rgyal sras rin po che'i bka' 'bum,-,261,,18329,,,chos smra ba'i btsun pa thogs med,,bris ma dbu can,,,la,,175,,48.4 x 8.6,"Other versions in Drepung karchag = 18824, 18533, 18430, 19160 and 18106"
rgyal sras thogs med bzang po,-,rgyal sras rin po che'i bka' 'bum thor bu,-,238,,18430,,,chos smra ba'i btsun pa thogs med,,shing dpar,,,la,,211,,46.5 x 8,"Other versions in Drepung karchag = 18824, 18533, 18329, 19160 and 18107"
rgyal sras thogs med bzang po,-,rgyal sras rin po che'i bka' 'bum,-,238,,18542,,,btsun pa thogs med,,shing dpar,,,la,,275,,44.5 x 8.3,Another copy of 18430?
rgyal sras thogs med bzang po,-,zhal gdams sna tshogs,-,11,,18867,,,rgyal sras dngul chu thogs med,,dpe tshugs,,,la,,365,,40 x 8.2,
rgyal sras thogs med bzang po,-,zhal gdams sna tshogs skor,-,8,,18868,,,rgyal sras dngul chu thogs med,,dpe tshugs,,,la,,354,,40 x 8.2,
rgyal sras thogs med bzang po,-,jam pa'i dbyangs 'khor ston thugs rje rin chen la bstod pa sogs bla ma'i gsol 'debs kha cig,-,258,,18108,,,chos smra ba'i btsun pa thogs med bzang po,,shing dpar,,,la,,100,,43 x 9,Text with same title ('khon instead of 'khor) on BDRC (WA0XLA0BE6D1508C2) but only 1 folio
rgyal sras thogs med bzang po,-,blo sbyong gi 'grel pa dpal ldan rgyal sras thogs med pas mdzad pa don bdun ma,-,17,,18756,,,btsun pa thogs med,,dpe tshugs,,,la,,355,,32.5 x 6.5 ,
rgyal sras thogs med bzang po,-,blo sbyong zin bris zab mo,-,49,,18757,,,btsun pa thogs med,,dpe tshugs,,,la,,355,,40.7 x 7.3,
rgyal sras thogs med bzang po,-,theg pa chen po'I blo sbyong gi zin bris,-,140,,18758,,,btsun pa thogs med,,shing dpar,,,la,,355,,46 x 8.5,
Lo chen Rin chen bzang po,dPal 'khor lo bde mchog 1ū i pa'i bstod pa yid bzhin nor bu,dPal 'khor lo bde mchog lu Ai pa'i bstod pa yid bzhin nor bu,2,2,1_001_01,7506,,Lo chen Rin chen bzang po,Lo ts+'a ba rin chen bzang po,,dpe tshugs,,eulogy,ma,-,191,-,48 x 8,"Praise (bsngags brjod) of Chakrasamvara (bde mchog) according to Luipa
According to his gsung 'bum (2018), there are four separate texts contained within this work: the title work, and three shorter eulogies:
- 'khor lo gsum pa'i lha mo rnams la bstod pa
- dpa' bo rnams la bstod pa
- sgo mtshams ma rgyad la bstod pa"
Lo chen Rin chen bzang po,Rab tu gnas pa,Rab tu gnas par byed pa don gsal ba,2,2,1_001_02,10304 prima,http://purl.bdrc.io/resource/WA0XL389D18516F57,Lo chen Rin chen bzang po,Sh+'akya'i dge slong rin chen bzang po,,bru tsha,no place,consecration,ma,ma,721,721,33.5 x 7.5 ,"Clarifying the significance of the deeds of consecration
Appears to be the 8th workin his gsun 'bum (2018) under the title rab tu gnas pa'i sdom"
Lo chen Rin chen bzang po,mNgon par rtogs pa'i dka' gnad,dPal mngon par rtogs pa'i bka' ba'i gnad bshad pa lo ts+'a ba rin chen bzang pos mdzad pa,13,13,1_001_03,1993,http://purl.bdrc.io/resource/WA0XLDD64FEB7EC7A,Atisha/Lo chen Rin chen bzang po,Bla ma dpal mar me mdzad ye shes (Atisha),,dpe tshugs,,,kha,kha,77,77,46 x 7.3,"Catalog of Difficult Points in the Clear Visualization [of Heruka]. Colophon indicates that these explanations were taken down verbatim from the words of Atisa
4th work in his gsung 'bum (2018)"
Lo chen Rin chen bzang po,Cho ga bya tshul,gTor chen gyi cho ga bya tshul,1,1,1_001_04,12495,http://purl.bdrc.io/resource/WA0XLCC80D25C1ABE,Lo chen Rin chen bzang po,Sh+'akya'i dge slong rin chen bzang po,,dpe tshugs,no place,consecration,ma,ma,927,927,40 x 8,"Instructions for performing the great torma ritual. According to Dan Y, its colophon repeats the colophon of 1_001_02 "
Lo chen Rin chen bzang po,bDe chen zhing gi smon lam,bDe ba can gyi smon lam,3,3,1_001_05,18712,http://purl.bdrc.io/resource/WA0XLE84B09CA0369,Lo chen Rin chen bzang po,Lo ts+'a ba rin chen bzang po,,dpe tshugs,Thon mthing,prayer,la,la,345,345,36 x 7,"Prayer for Amitabha's blissful realm. Dan Y identifies thon mthing in the colophon as mTho lding, Tholing, where Rinchen Zangpo spent a great deal of time towards the end of his life
10th work in his gsung 'bum (2019)"
rNgog Blo ldan shes rab,Dag yig nyer mkho bsdus pa,Dag yig nyer mkho bsdus pa,9,5,1_001_06,410,http://purl.bdrc.io/resource/WA0XL1D065D46F597,rNgog Blo ldan shes rab ?,Sh+'akya'i dge slong blo ldan shes rab,,bru tsha,no place,grammar/orthography,nang,-,114,-,55 x 10,"Modern print ed in dag yig nyer mkho bsdus pa shAkya'i dge slong blo ldan shes rab kyis mdzad pa (http://purl.bdrc.io/resource/WA0XLB70789E81B62) pp.662-670
According to Roux (2022), "" The Dag yig nyer mkho bsdus pa is one of the first (if not the first) instance of dag yig, focusing on the distinction of homo-phones.""
According to Kano (2008) a copy is preserved at the Bod ljongs dpe mdzod khang in dhasa"
rNgog Blo ldan shes rab,Shes rab snying po’i ‘grel ba,Shes rab snying po’i rgya cher ‘grel gyi bshad pa,4,4,1_001_07,19536,http://purl.bdrc.io/resource/MW1PD89051_9C82B3,rNgog Blo ldan shes rab,Lo tsa+' ba slob dpon blo ldan zhes rab,,dpe tshugs,no place,Perfection of wisdom,la,tsha,542,41,60 x 10,
rNgog Blo ldan shes rab,mNgon par rtogs pa'i rgyan 'grel rin po che'i sgron me. Colophon: shes rab kyi pha rol du phyin pa man ngag gi [b]stan bcos don bsdus pa,Sher phyin mngon rtogs rgyan 'grel ba dang bcas pa'i dka' 'grel rin po che'i sgron ma,39,39,1_001_08,15800,http://purl.bdrc.io/resource/MW1PD89051_555380,rNgog Blo ldan shes rab,Lo tsa+' ba blo ldan zhes rab,,bru tsha,no place,Perfection of wisdom,tsha,tsha,41,41,65 x 10,"According to Kazo (2008) a facsimilie edition has been reproduced from a blockprint, published in Dharamsala in 1993. A facsimilie edition for a manuscript also exists"
rNgog Blo ldan shes rab,mDo sde rgyan gyi don bsdus,mDo sde rgyan gyi don bsdus,24,24,1_001_09,15853,http://purl.bdrc.io/resource/MW1PD89051_BDDD19,rNgog Blo ldan shes rab,no name given,,bru tsha,no place,Perfection of wisdom,tsha,tsha,60,60,62.5 x 10.5,
rNgog Blo ldan shes rab,dBus mtha’i don bsdus,,13,,1_001_10,,http://purl.bdrc.io/resource/MW1PD89051_411055,rNgog Blo ldan shes rab,,,,no place,Perfection of wisdom,,tsha,,116,,
rNgog Blo ldan shes rab,rGyud bla ma’i 'grel ba,,40,,1_001_11,,http://purl.bdrc.io/resource/MW1PD89051_49D513,rNgog Blo ldan shes rab,,,,no place,Buddha Nature,,,,,,
rNgog Blo ldan shes rab,Tshad ma rnam nges kyi bsdus don. Colophon: bam po lnga pa'i bshad pa,mTshan nyid kyi chos zhes bya ba,21,21,1_001_12,16371,http://purl.bdrc.io/resource/MW1PD89051_925F97,rNgog Blo ldan shes rab,rNgog lo tsa+'a ba blo ldan shes rab,,bru tsha,no place of composition,Epistemology,zha,zha,6,21,64.5 x 9.8,According to Kazo (2008) a facsimilie edition has been reproduced from a manuscript preserved in rgyal rtse dpal 'khor chos sde (same as the version in KDSB) but under the title Rigs thigs 'grel pa dang bcas pa'i sdus don
rNgog Blo ldan shes rab,Tshad ma rnam nges kyi ‘grel ba,Tshad ma rnam 'grel gyi 'grel ba,144,123,1_001_13,16363,http://purl.bdrc.io/resource/MW1PD89051_306BCA,rNgog Blo ldan shes rab,no name given,,dpe tshugs,yul chos skor bsaM yas kyi lung phran mchims phu'I gtsug lag khang,Epistemology,zha,zha,15,43,62 x 9,"Preserved in Sera (labelled Phyi zha 83, 132 folios) with title Tshad ma rnam par nges pa ti ka dang bcas pa'i bsdus don (according to Kano it is idential to the copy in the KDSB); there's another manuscript preserved in the China Nationalities library, Beijing"
rNgog Blo ldan shes rab,sPrings yig bsdud rtsi’i thig pa,rNgog  lo chen po blo ldan shes rab kyi springs yig bdud rtsi'i thig le,2,2,1_001_14,18550,http://purl.bdrc.io/resource/MW1PD89051_A27271,rNgog Blo ldan shes rab,dGe slong blo ldan shes rab,,dpe tshugs,no place,,la,la,281,281,60.5 x 9.5,
‘Bre Shes rab ‘bar,Yum brgyad stong pa’i don bsdus,bCom ldan 'das yum brgyad stong pa'i don bsdus pa,22,22,1_002_01,19955,http://purl.bdrc.io/resource/MW1PD89051_089074,‘Bre Shes rab ‘bar,Lo tsa+' ba chen po dge slong blo ldan shes rab,<lho brag rong pa> bla ma 'od; mdo smad pa mar pa ston pa,bru tsha,no place,Perfection of wisdom,la,la,593,593,64 x 9,
Ar Byang chub ye shes,Shes rab kyi pha rol tu phyin pa'i mdo' rgya cher 'grel,Shes snying gyi rgya cher 'grel,6,6,1_002_02,10294,http://purl.bdrc.io/resource/MW1PD89051_FC805A,Ar Byang chub ye shes,Sh+'akya'i dge slong byang chub ye shes,,bru tsha,sNar thang,Perfection of wisdom,ma,la (/ma),586,588(/586),64.5 x 10.5,
